Ime objekta,Podrijetlo imena
Parizova jama,preuzeto kao lokalni naziv
Pećina u Gvozdenovu,smišljeno prema toponimu
Kapljarka,preuzeto kao lokalni naziv
Zobinovica 2,smišljeno prema toponimu
Jama u Bristvi,smišljeno prema toponimu
Vodena jama pod Osredakom,smišljeno prema toponimu
Špilja na rtu Frkanj,smišljeno prema toponimu
Pećina u Dunjaku,smišljeno prema toponimu
Jama pod Goricom,smišljeno prema toponimu
Kujina jama,preuzeto kao lokalni naziv
Šikara,smišljeno prema toponimu
Jama Živa voda,preuzeto iz literature
Jama ispod ceste,smišljeno novo
Jama Pan 1,smišljeno novo
Ajdučka peć na Aptovini,smišljeno prema toponimu
Jama na malome vrvu,smišljeno prema toponimu
Jama nad Lavret,smišljeno prema toponimu
Mrtvalna,preuzeto kao lokalni naziv
Čupakabra,smišljeno novo
Bunar u gredi,preuzeto kao lokalni naziv
Jama Tri ajnc,smišljeno novo
Jama u koletićevoj šumi,preuzeto kao lokalni naziv
Ciginovac 3,smišljeno prema toponimu
Golubnjača,preuzeto kao lokalni naziv
Diva neočekivanog prijateljstva,smišljeno novo
Deukalion špilja,preuzeto kao lokalni naziv
Rupe,preuzeto kao lokalni naziv
Čađina golubinka,preuzeto iz literature
Jama broj 4,preuzeto iz literature
Paž,smišljeno novo
Golubara,preuzeto kao lokalni naziv
Jama blizu ceste MV 3,smišljeno novo
"Nemam, nisam uzo",smišljeno novo
Izvor špilja kod Barićevog mlina,smišljeno prema toponimu
Jama Stvari,smišljeno novo
Špilja pod skalinama,smišljeno prema toponimu
Trafter,smišljeno novo
Jama na Bojušini 1,smišljeno prema toponimu
Pješčana ura,smišljeno novo
Kaverna C1,smišljeno novo
Plava buba,smišljeno novo
Duman 1,smišljeno prema toponimu
Malinovka,smišljeno novo
Kraljicina špilja,preuzeto kao lokalni naziv
Špilja s branom,smišljeno novo
Špilja pod Rudić brdom,smišljeno prema toponimu
Jama za Rasohama,preuzeto kao lokalni naziv
Jama kod šumarske kuće,smišljeno prema toponimu
Buža I,preuzeto kao lokalni naziv
Jama kod bivka Dinaridi,smišljeno prema toponimu
Jama kod stanice,preuzeto iz literature
Pećinica u Šeraji,smišljeno prema toponimu
Debela pećina,nepoznato podrijetlo
Jama pod Križ,smišljeno prema toponimu
Golubinka pod Plančanikom,smišljeno prema toponimu
Pećina s pijeskom donja,smišljeno prema toponimu
Polupani prozori,smišljeno novo
Zala 1,smišljeno novo
Kaverna 47 u tunelu Sveti Rok,smišljeno prema toponimu
Burkova jama,preuzeto kao lokalni naziv
Jama za Presikom,smišljeno prema toponimu
Lalovićeva jama,preuzeto kao lokalni naziv
Trošenjska špilja,smišljeno prema toponimu
Šarića pećine II,smišljeno prema toponimu
Petojama,smišljeno novo
Kaluđerova špilja,preuzeto kao lokalni naziv
Golubnjača,preuzeto kao lokalni naziv
KC1,smišljeno novo
Špejarka 2,smišljeno prema toponimu
Brunina špilja,preuzeto kao lokalni naziv
Izvor špilja Jankovačkog potoka,preuzeto kao lokalni naziv
Kapljuv,preuzeto sa karte
Jama za Mahrincem,preuzeto kao lokalni naziv
Špilja na Pisanoj pečini,smišljeno prema toponimu
Prva prava,smišljeno novo
Kamenjarka,preuzeto iz literature
Jama u Regovićevoj njivi u Žingorima,smišljeno prema toponimu
Monmarin,smišljeno prema toponimu
Trešnja Žumberačka,smišljeno novo
Jama u Lukama,smišljeno prema toponimu
Ficlek,smišljeno novo
Kozjača,preuzeto kao lokalni naziv
Kaljuža,smišljeno novo
Špilja u Bilopolju 2,smišljeno prema toponimu
Spilja pod Vrajinim stijenama,smišljeno prema toponimu
5 minuta,smišljeno novo
Bebin cug,smišljeno novo
Velika Birnjača,preuzeto kao lokalni naziv
Šumsko srce,smišljeno novo
Krunčak,smišljeno prema toponimu
Jama na tri točke,smišljeno novo
Zorinka,preuzeto kao lokalni naziv
Mirkova jama,smišljeno novo
Cepinka,smišljeno prema toponimu
Naputix,smišljeno novo
Jama iznad gubavih kuća,smišljeno novo
Šimanova jama 2,smišljeno prema toponimu
Zeko,smišljeno novo
Jama na Benkotovu,smišljeno prema toponimu
Špilja na istočnoj punti Periševe uvale,smišljeno prema toponimu
Panđinovac,preuzeto kao lokalni naziv
Begova cisterna,smišljeno prema toponimu
Kupusna jama,preuzeto kao lokalni naziv
Jama na Horvatovoj stazi,smišljeno prema toponimu
